"","sample_year","haul_date","cruise_id","event_code","station_id","gear","gear_performance","tow_type","nbs_strata","master_station_name","oceanographic_domain","large_marine_ecosystem","region","eq_latitude","eq_longitude","event.notes","species_tsn","common_name","scientific_name","lhs_code","salmon_maturity","sex","length","length_type","weight","scale_card_number","scale_card_position","otolith_number","stomach_flag","genetic_number","genetic_flag","notes","fish_number","scale_position_pref_code","gonad_weight","caloric_number","isotope_number","stomach_number","barcode","fat_meter"
"1",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",81,"TL",NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"2",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",95,"TL",NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"3",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",82,"TL",NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"4",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"5",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",84,"TL",NA,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"6",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",90,"TL",NA,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"7",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",81,"TL",NA,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"8",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"9",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",92,"TL",NA,NA,NA,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"10",2006,"2006-08-27","SS0601",3,20060101041,"CAN","S","S",0,"58.5-171",2,"Bering Sea","SEBS",58.5182,-170.989,"backscatter at 10-30 m and 75-90 m. Saved a frozen sample of greenling for Bruce Wing to identify.",164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
